Sample2,,denaturata 1M,,denaturata 2M,,denaturata 4M,,denaturata 3M,,denaturata 5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,138.063736,300,188.8441925,300,268.6512756,300,257.2468262,300,189.0182953,300,295.1501465,
301.0700073,107.4818954,301.0700073,148.2482605,301.0700073,175.0766754,301.0700073,119.5627441,301.0700073,106.3972397,301.0700073,153.929184,
302,106.6635056,302,130.517746,302,143.7601471,302,64.38134003,302,69.04644012,302,71.00592041,
303.0700073,124.0338593,303.0700073,143.0820007,303.0700073,154.3969574,303.0700073,43.05160141,303.0700073,62.1715889,303.0700073,47.48126602,
304,146.0961151,304,166.6413116,304,181.6908264,304,41.74020004,304,68.1556015,304,47.07055283,
305.0700073,178.7650146,305.0700073,201.6746674,305.0700073,215.7773895,305.0700073,47.09965515,305.0700073,74.33888245,305.0700073,48.50824356,
306,203.5516968,306,227.6270599,306,242.9175873,306,50.00224304,306,85.90491486,306,54.70303345,
307.0700073,241.5890503,307.0700073,260.1413574,307.0700073,281.7582703,307.0700073,59.82685089,307.0700073,100.1387634,307.0700073,60.33182526,
308,265.2834473,308,293.9537048,308,309.857666,308,64.68280792,308,114.1508179,308,68.57733154,
309.0700073,295.1758728,309.0700073,319.7447205,309.0700073,340.9148865,309.0700073,74.55518341,309.0700073,124.3220978,309.0700073,80.12276459,
310,323.9118347,310,351.6330566,310,371.0422363,310,84.1000824,310,138.8819427,310,87.78004456,
310.9299927,348.6181946,310.9299927,374.6102295,310.9299927,396.3652039,310.9299927,95.90181732,310.9299927,153.0642853,310.9299927,100.2446289,
312.0299988,379.8754272,312.0299988,403.1807556,312.0299988,430.8521729,312.0299988,111.3991928,312.0299988,165.9160919,312.0299988,114.8600922,
