Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
534.9199829,367.5043335,534.9199829,292.2023315,534.9199829,270.9777222,534.9199829,156.6499786,534.9199829,130.7897644,534.9199829,96.14160919,534.9199829,63.83487701,534.9199829,30.09207344,534.9199829,14.7584095,
535.9699707,407.9706421,535.9699707,321.0117493,535.9699707,297.2993164,535.9699707,170,535.9699707,142.7696075,535.9699707,104.6583862,535.9699707,69.19313049,535.9699707,32.36088181,535.9699707,16.19371986,
536.8599854,447.4790649,536.8599854,353.6409607,536.8599854,323.4344788,536.8599854,185.3695068,536.8599854,155.3335114,536.8599854,112.9587173,536.8599854,75.24474335,536.8599854,35.40612793,536.8599854,17.17300224,
537.9099731,494.2362061,537.9099731,387.26651,537.9099731,353.3065491,537.9099731,201.1316986,537.9099731,166.8934631,537.9099731,122.4376678,537.9099731,81.32260895,537.9099731,38.26948929,537.9099731,18.79179192,
538.9500122,542.3585815,538.9500122,423.5351257,538.9500122,382.5324402,538.9500122,216.630188,538.9500122,180.3719635,538.9500122,131.4708557,538.9500122,87.41036224,538.9500122,41.13248062,538.9500122,19.88502312,
539.8499756,586.843811,539.8499756,456.9906311,539.8499756,411.9847412,539.8499756,230.6043549,539.8499756,192.6623383,539.8499756,140.9630432,539.8499756,92.90982819,539.8499756,43.21200562,539.8499756,21.46450043,
540.8900146,634.677002,540.8900146,491.6541138,540.8900146,438.9169922,540.8900146,245.4340973,540.8900146,204.3701782,540.8900146,149.8201294,540.8900146,98.37850189,540.8900146,45.34579468,540.8900146,22.6258049,
541.9400024,684.5970459,541.9400024,522.8095703,541.9400024,466.5224304,541.9400024,261.3969116,541.9400024,217.0033722,541.9400024,156.6820221,541.9400024,103.870575,541.9400024,47.91283417,541.9400024,23.93114281,
542.8300171,720.6491089,542.8300171,554.5584106,542.8300171,488.2828369,542.8300171,271.9153748,542.8300171,224.0148315,542.8300171,163.4939728,542.8300171,107.6965332,542.8300171,50.38700104,542.8300171,24.63568115,
543.8800049,760.6791992,543.8800049,581.3953247,543.8800049,509.9967041,543.8800049,283.0188599,543.8800049,233.3502197,543.8800049,170.6507874,543.8800049,112.3286591,543.8800049,52.31403351,543.8800049,25.5844059,
