rodamina_526nm		rodamina_450nm		rodamina_480nm		rodamina_510nm		rodamina_530nm		rodamina_520nm		rodamina_510nm		rodamina_460nm	
Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)
534.9199829	313.5271301	460	-0.03383522108	490	0.260040462	510	3.1614604	540	514.7966919	530	153.05896	520	25.09660149	470	0.07686197758
535.9699707	350.8034363	461.0599976	-0.1713326275	491.0400085	0.2077891231	511.0400085	3.904114962	541.039978	562.2996216	531.039978	174.7070007	521.039978	29.82344437	471.0599976	0.2106482685
536.8599854	386.7529602	461.9599915	0	491.9400024	0.08617965877	511.9400024	4.701545715	541.9400024	603.9002686	531.9400024	195.9551239	521.9400024	35.15517807	471.9599915	0.05144297332
537.9099731	432.5571594	463.0299988	0.09999333322	492.980011	0.2906301022	512.9799805	5.360221863	542.9799805	652.5595093	532.9799805	224.3613434	522.9799805	41.69424438	473.0299988	0.1618210226
538.9500122	482.7645874	463.9299927	-0.09954871237	494.019989	0.2295025438	514.0200195	6.522734165	544.0200195	693.0319824	534.0200195	257.8666077	524.0200195	48.97763062	473.9299927	0.079095155
539.8499756	529.4932861	465	0.229417935	495.0700073	0.2673558593	515.0700073	7.90913868	545.0700073	734.3695679	535.0700073	292.7638855	525.0700073	58.09456253	475	0.276583463
540.8900146	576.8373413	466.0599976	-0.06717947125	495.9700012	0.2409203202	515.9699707	9.308609962	545.9699707	768.7062988	535.9699707	325.7720337	525.9699707	65.98549652	476.0599976	-0.07795852423
541.9400024	625.1366577	466.9599915	0	497.0100098	0.429405719	517.0100098	11.34129715	547.0100098	810.5110474	537.0100098	366.4799194	527.0100098	77.85642242	476.9599915	0.1888217479
542.8300171	661.3163452	468.0299988	-0.137869224	498.0499878	0.6170761585	518.0499878	13.39815426	548.0499878	843.482666	538.0499878	409.5428162	528.0499878	92.12873077	478.0299988	0.2286004573
