Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
534.9199829,115.4596939,450,68.16819763,
535.9699707,131.6713867,451.0599976,71.25035095,
536.8599854,148.2006226,451.9599915,73.89105225,
537.9099731,170.7561188,453.0299988,77.05311584,
538.9500122,194.057251,453.9299927,79.4499588,
539.8499756,217.5917206,455,83.10120392,
540.8900146,245.4629517,456.0599976,86.72898102,
541.9400024,272.13974,456.9599915,89.68973541,
542.8300171,295.8183289,458.0299988,94.11016083,
543.8800049,323.1898499,458.9299927,96.06564331,
544.9199829,349.6572571,460,99.80278778,
545.9699707,375.4718628,461.0599976,101.5333862,
546.8599854,401.9888916,461.9599915,104.7283859,
547.9099731,418.4919739,463.0299988,107.113266,
548.9500122,439.1748047,463.9299927,110.440094,
549.8499756,452.5554504,465,116.4874573,
550.8900146,467.9440613,466.0599976,121.9356232,
551.9400024,480.729126,466.9599915,126.4282913,
552.8300171,484.7753906,468.0299988,131.6716614,
553.8800049,489.6632996,468.9299927,136.5722046,
554.9199829,492.4116211,470,141.9688721,
555.9699707,491.0994873,471.0599976,149.8734741,
556.8599854,487.1965942,471.9599915,156.3973999,
557.9099731,481.3826294,473.0299988,164.3856506,
558.9500122,475.0571899,473.9299927,170.1781616,
559.8499756,468.8592529,475,178.0746765,
560.8800049,457.0723572,476.0599976,188.9342194,
561.9099731,446.6587219,476.9599915,198.9061279,
562.9400024,433.9215393,478.0299988,207.5291748,
563.9699707,419.4700012,478.9299927,214.4930573,
564.8499756,411.7815552,480,226.7687073,
565.8800049,396.0402222,481.0400085,240.8616943,
566.9099731,380.686554,481.9400024,249.9221039,
567.9400024,370.111084,482.980011,258.233551,
568.9699707,356.7124939,484.019989,262.5706177,
569.8499756,345.3521729,485.0700073,270.4587097,
570.8900146,331.4118347,485.9700012,272.6765137,
571.9400024,316.0817871,487.0100098,277.3648071,
572.8300171,304.7057495,488.0499878,283.1844177,
573.8800049,293.6603699,488.9500122,285.9353333,
574.9199829,279.5774231,490,293.7563477,
575.9699707,269.3995667,491.0599976,294.9390564,
576.8599854,260.8520508,491.9599915,298.5546265,
577.9099731,248.6140289,493.0299988,302.1245117,
578.9500122,242.6868286,493.9299927,303.2367554,
579.8499756,233.585083,495,306.3357239,
580.8800049,223.1569214,496.0599976,311.4501038,
581.9099731,216.3366852,496.9599915,318.7002869,
582.9400024,207.614624,498.0299988,320.3681335,
583.9699707,200.6226196,498.9299927,323.6111755,
584.8499756,193.720871,500,326.0840149,
585.8800049,188.5388184,501.0400085,331.3781738,
586.9099731,179.8144836,501.9400024,339.6625366,
587.9400024,175.7017059,502.980011,348.3800964,
588.9699707,169.8265076,504.019989,356.9561768,
589.8499756,163.6126099,505.0700073,366.2819214,
590.8800049,157.7490082,505.9700012,371.7111511,
591.9099731,154.4813995,507.0100098,383.7772217,
592.9400024,149.9599762,508.0499878,392.4936218,
593.9699707,143.7011108,508.9500122,401.8800354,
594.8499756,140.4326019,510,413.9421692,
595.8800049,136.4348907,511.0400085,414.897644,
596.9099731,130.7402954,511.9400024,425.5516052,
597.9400024,125.8225021,512.9799805,433.147583,
598.9699707,122.9278717,514.0200195,439.6890869,
599.8499756,120.034874,515.0700073,449.2176208,
600.8800049,116.6792526,515.9699707,455.9902954,
601.9099731,112.5506287,517.0100098,459.3239136,
602.9400024,109.1946793,518.0499878,470.1642151,
603.9699707,104.6210251,518.9500122,464.9151611,
604.8499756,101.3278809,520,474.0210876,
605.8800049,97.38515472,521.039978,473.8811035,
606.9099731,93.47328949,521.9400024,475.3658752,
